Word,term_id
strongest,1193
chanc,1194
qualifi,1195
camp,1196
prior,1197
restless,1198
excit,1199
haikyuu,1200
reviv,1201
legendari,1202
vampir,1203
kiss,1204
shot,1205
acerola,1206
orion,1207
blade,1208
servant,1209
certain,1210
full,1211
hunt,1212
retriev,1213
almost,1214
whole,1215
consid,1216
want,1217
would,1218
stop,1219
newborn,1220
overpow,1221
trust,1222
limit,1223
resolv,1224
someth,1225
dr,1226
kenzou,1227
tenma,1228
elit,1229
neurosurgeon,1230
engag,1231
hospit,1232
director,1233
daughter,1234
ascend,1235
hierarchi,1236
forev,1237
prepar,1238
surgeri,1239
someon,1240
switch,1241
patient,1242
brain,1243
famou,1244
fiancé,1245
applaud,1246
poor,1247
immigr,1248
worker,1249
dead,1250
caus,1251
crisi,1252
conscienc,1253
similar,1254
ground,1255
choos,1256
johan,1257
liebert,1258
mayor,1259
choic,1260
ramif,1261
lose,1262
social,1263
evid,1264
convict,1265
releas,1266
nine,1267
later,1268
oper,1269
havoc,1270
spread,1271
blunt,1272
walru,1273
hiroshi,1274
odokawa,1275
rel,1276
normal,1277
drive,1278
taxi,1279
uniqu,1280
individu,1281
jobless,1282
taichi,1283
kabasawa,1284
go,1285
viral,1286
nurs,1287
miho,1288
shirakawa,1289
comed,1290
duo,1291
homo,1292
sapien,1293
dobu,1294
delinqu,1295
upsid,1296
track,1297
yakuza,1298
cop,1299
tail,1300
unusu,1301
bizarr,1302
driver,1303
schooler,1304
stubborn,1305
spoil,1306
naïv,1307
10,1308
chihiro,1309
ogino,1310
less,1311
pleas,1312
parent,1313
amus,1314
park,1315
hous,1316
cautious,1317
ventur,1318
insid,1319
dusk,1320
ghostli,1321
food,1322
pig,1323
unwittingli,1324
cross,1325
trap,1326
summon,1327
courag,1328
amongst,1329
enigmat,1330
haku,1331
cast,1332
vivid,1333
intrigu,1334
sen,1335
kamikakushi,1336
manifest,1337
knit,1338
tsubasa,1339
hanekawa,1340
modest,1341
shinobu,1342
resid,1343
doughnut,1344
athlet,1345
deviant,1346
suruga,1347
kanbaru,1348
bite,1349
happi,1350
mayoi,1351
hachikuji,1352
cutesi,1353
nadeko,1354
sengoku,1355
senjogahara,1356
poignant,1357
tsunder,1358
monogatari,1359
overcom,1360
rapidli,1361
semest,1362
begun,1363
loom,1364
quickli,1365
walk,1366
unfold,1367
viciou,1368
tiger,1369
target,1370
fend,1371
bow,1372
perspect,1373
feebl,1374
manga,1375
center,1376
bojji,1377
princ,1378
cannot,1379
wield,1380
children,1381
firstborn,1382
hard,1383
king,1384
mutter,1385
good,1386
kage,1387
liter,1388
somehow,1389
survivor,1390
wipe,1391
killer,1392
steal,1393
age,1394
sourc,1395
news,1396
2071,1397
colon,1398
moon,1399
solar,1400
system,1401
leav,1402
uninhabit,1403
inter,1404
outlaw,1405
bounti,1406
cowboy,1407
aboard,1408
bebop,1409
mellow,1410
carefre,1411
spike,1412
spiegel,1413
balanc,1414
boister,1415
pragmat,1416
jet,1417
pair,1418
chase,1419
collect,1420
reward,1421
thrown,1422
travel,1423
ein,1424
genet,1425
intellig,1426
welsh,1427
corgi,1428
femm,1429
fay,1430
valentin,1431
trickster,1432
comput,1433
whiz,1434
kid,1435
wong,1436
unravel,1437
littl,1438
densiti,1439
comedi,1440
western,1441
classic,1442
homag,1443
smooth,1444
improvis,1445
music,1446
sanyou,1447
campaign,1448
qin,1449
1,1450
000,1451
command,1452
li,1453
xin,1454
inch,1455
closer,1456
fulfil,1457
ying,1458
zheng,1459
china,1460
major,1461
geograph,1462
foothold,1463
state,1464
wei,1465
eastward,1466
mu,1467
unparallel,1468
strategist,1469
newli,1470
appoint,1471
prime,1472
minist,1473
